CO_MUN_GEO;NO_MUN_MIN;SG_UF
3406706;Boa Esperança do Sul;SP
3406805;Bocaina;SP
3406904;Bofete;SP
3407001;Boituva;SP
3407100;Bom Jesus dos Perdões;SP
3407159;Bom Sucesso de Itararé;SP
3407209;Borá;SP
3407308;Boracéia;SP
3407407;Borborema;SP
3407456;Borebi;SP
3407506;Botucatu;SP
3407605;Bragança Paulista;SP
3407704;Braúna;SP
3407753;Brejo Alegre;SP
3407803;Brodowski;SP
3407902;Brotas;SP
3408009;Buri;SP
3408108;Buritama;SP
3408207;Buritizal;SP
3420103;Igarapava;SP
3420202;Igaratá;SP
3420301;Iguape;SP
3420400;Ilhabela;SP
3420426;Ilha Comprida;SP
3420442;Ilha Solteira;SP
3420509;Indaiatuba;SP
3420608;Indiana;SP
3420707;Indiaporã;SP
3420806;Inúbia Paulista;SP
3420905;Ipaussu;SP
3421002;Iperó;SP
3421101;Ipeúna;SP
3421150;Ipiguá;SP
3421200;Iporanga;SP
3421309;Ipuã;SP
3421408;Iracemápolis;SP
3421507;Irapuã;SP
3421606;Irapuru;SP
3421705;Itaberá;SP
3421804;Itaí;SP
3421903;Itajobi;SP
3422000;Itaju;SP
3422109;Itanhaém;SP
3422158;Itaóca;SP
3422208;Itapecerica da Serra;SP
3422307;Itapetininga;SP
3422406;Itapeva;SP
3422505;Itapevi;SP
3422604;Itapira;SP
3422653;Itapirapuã Paulista;SP
3422703;Itápolis;SP
3422802;Itaporanga;SP
3422901;Itapuí;SP
3423008;Itapura;SP
3423107;Itaquaquecetuba;SP
3423206;Itararé;SP
3423305;Itariri;SP
3423404;Itatiba;SP
3423503;Itatinga;SP
3423602;Itirapina;SP
3423701;Itirapuã;SP
3423800;Itobi;SP
3423909;Itu;SP
3424006;Itupeva;SP
3424105;Ituverava;SP
3424204;Jaborandi;SP
3424303;Jaboticabal;SP
3424402;Jacareí;SP
3424501;Jaci;SP
3424600;Jacupiranga;SP
3424709;Jaguariúna;SP
3424808;Jales;SP
3424907;Jambeiro;SP
3425003;Jandira;SP
3425102;Jardinópolis;SP
3425201;Jarinu;SP
3425300;Jaú;SP
3425409;Jeriquara;SP
3425508;Joanópolis;SP
3425607;João Ramalho;SP
3400105;Adamantina;SP
3400204;Adolfo;SP
3400303;Aguaí;SP
3400402;Águas da Prata;SP
3400501;Águas de Lindóia;SP
3400550;Águas de Santa Bárbara;SP
3400600;Águas de São Pedro;SP
3400709;Agudos;SP
3400758;Alambari;SP
3400808;Alfredo Marcondes;SP
3400907;Altair;SP
3401004;Altinópolis;SP
3401103;Alto Alegre;SP
3401152;Alumínio;SP
3401202;Álvares Florence;SP
3401301;Álvares Machado;SP
3401400;Álvaro de Carvalho;SP
3401509;Alvinlândia;SP
3401608;Americana;SP
3401707;Américo Brasiliense;SP
3401806;Américo de Campos;SP
3401905;Amparo;SP
3402002;Analândia;SP
3402101;Andradina;SP
3402200;Angatuba;SP
3402309;Anhembi;SP
3402408;Anhumas;SP
3402507;Aparecida;SP
3402606;Aparecida d'Oeste;SP
3402705;Apiaí;SP
3402754;Araçariguama;SP
3402804;Araçatuba;SP
3402903;Araçoiaba da Serra;SP
3403000;Aramina;SP
3403109;Arandu;SP
3403158;Arapeí;SP
3403208;Araraquara;SP
3403307;Araras;SP
3449409;São Joaquim da Barra;SP
3449508;São José da Bela Vista;SP
3449607;São José do Barreiro;SP
3449706;São José do Rio Pardo;SP
3449805;São José do Rio Preto;SP
3449904;São José dos Campos;SP
3449953;São Lourenço da Serra;SP
3450001;São Luís do Paraitinga;SP
3450100;São Manuel;SP
3450209;São Miguel Arcanjo;SP
3450308;São Paulo;SP
3450407;São Pedro;SP
3450506;São Pedro do Turvo;SP
3450605;São Roque;SP
3450704;São Sebastião;SP
3450803;São Sebastião da Grama;SP
3450902;São Simão;SP
3451009;São Vicente;SP
3451108;Sarapuí;SP
3451207;Sarutaiá;SP
3451306;Sebastianópolis do Sul;SP
3451405;Serra Azul;SP
3451504;Serrana;SP
3451603;Serra Negra;SP
3451702;Sertãozinho;SP
3451801;Sete Barras;SP
3451900;Severínia;SP
3452007;Silveiras;SP
3452106;Socorro;SP
3452205;Sorocaba;SP
3452304;Sud Mennucci;SP
3452403;Sumaré;SP
3452502;Suzano;SP
3452551;Suzanápolis;SP
3452601;Tabapuã;SP
3452700;Tabatinga;SP
3452809;Taboão da Serra;SP
3452908;Taciba;SP
3453005;Taguaí;SP
3453104;Taiaçu;SP
3453203;Taiúva;SP
3453302;Tambaú;SP
3453401;Tanabi;SP
3453500;Tapiraí;SP
3453609;Tapiratiba;SP
3453658;Taquaral;SP
3453708;Taquaritinga;SP
3453807;Taquarituba;SP
3453856;Taquarivaí;SP
3453906;Tarabai;SP
3453955;Tarumã;SP
3454003;Tatuí;SP
3454102;Taubaté;SP
3454201;Tejupá;SP
3454300;Teodoro Sampaio;SP
3454409;Terra Roxa;SP
3454508;Tietê;SP
3454607;Timburi;SP
3454656;Torre de Pedra;SP
3454706;Torrinha;SP
3454755;Trabiju;SP
3454805;Tremembé;SP
3454904;Três Fronteiras;SP
3454953;Tuiuti;SP
3455000;Tupã;SP
3455109;Tupi Paulista;SP
3455208;Turiúba;SP
3455307;Turmalina;SP
3455356;Ubarana;SP
3455406;Ubatuba;SP
3455505;Ubirajara;SP
3455604;Uchoa;SP
3455703;União Paulista;SP
3455802;Urânia;SP
3455901;Uru;SP
3456008;Urupês;SP
3456107;Valentim Gentil;SP
3456206;Valinhos;SP
3456305;Valparaíso;SP
3456354;Vargem;SP
3456404;Vargem Grande do Sul;SP
3456453;Vargem Grande Paulista;SP
3456503;Várzea Paulista;SP
3456602;Vera Cruz;SP
3456701;Vinhedo;SP
3456800;Viradouro;SP
3456909;Vista Alegre do Alto;SP
3456958;Vitória Brasil;SP
3457006;Votorantim;SP
3457105;Votuporanga;SP
3457154;Zacarias;SP
3457204;Chavantes;SP
3457303;Estiva Gerbi;SP
3425706;José Bonifácio;SP
3425805;Júlio Mesquita;SP
3425854;Jumirim;SP
3425904;Jundiaí;SP
3426001;Junqueirópolis;SP
3426100;Juquiá;SP
3426209;Juquitiba;SP
3426308;Lagoinha;SP
3426407;Laranjal Paulista;SP
3426506;Lavínia;SP
3426605;Lavrinhas;SP
3426704;Leme;SP
3426803;Lençóis Paulista;SP
3426902;Limeira;SP
3427009;Lindóia;SP
3427108;Lins;SP
3427207;Lorena;SP
3427256;Lourdes;SP
3427306;Louveira;SP
3427405;Lucélia;SP
3427504;Lucianópolis;SP
3427603;Luís Antônio;SP
3427702;Luiziânia;SP
3427801;Lupércio;SP
3427900;Lutécia;SP
3428007;Macatuba;SP
3428106;Macaubal;SP
3428205;Macedônia;SP
3428304;Magda;SP
3428403;Mairinque;SP
3428502;Mairiporã;SP
3428601;Manduri;SP
3428700;Marabá Paulista;SP
3428809;Maracaí;SP
3428858;Marapoama;SP
3428908;Mariápolis;SP
3429005;Marília;SP
3429104;Marinópolis;SP
3429203;Martinópolis;SP
3429302;Matão;SP
3429401;Mauá;SP
3429500;Mendonça;SP
3429609;Meridiano;SP
3429658;Mesópolis;SP
3429708;Miguelópolis;SP
3429807;Mineiros do Tietê;SP
3429906;Miracatu;SP
3430003;Mira Estrela;SP
3430102;Mirandópolis;SP
3430201;Mirante do Paranapanema;SP
3430300;Mirassol;SP
3430409;Mirassolândia;SP
3430508;Mococa;SP
3430607;Mogi das Cruzes;SP
3430706;Mogi Guaçu;SP
3430805;Mogi-Mirim;SP
3430904;Mombuca;SP
3431001;Monções;SP
3431100;Mongaguá;SP
3431209;Monte Alegre do Sul;SP
3431308;Monte Alto;SP
3431407;Monte Aprazível;SP
3431506;Monte Azul Paulista;SP
3431605;Monte Castelo;SP
3431704;Monteiro Lobato;SP
3431803;Monte Mor;SP
3431902;Morro Agudo;SP
3432009;Morungaba;SP
3432058;Motuca;SP
3432108;Murutinga do Sul;SP
3432157;Nantes;SP
3432207;Narandiba;SP
3432306;Natividade da Serra;SP
3432405;Nazaré Paulista;SP
3432504;Neves Paulista;SP
3432603;Nhandeara;SP
3432702;Nipoã;SP
3432801;Nova Aliança;SP
3432827;Nova Campina;SP
3432843;Nova Canaã Paulista;SP
3432868;Nova Castilho;SP
3432900;Nova Europa;SP
3433007;Nova Granada;SP
3433106;Nova Guataporanga;SP
3433205;Nova Independência;SP
3433254;Novais;SP
3433304;Nova Luzitânia;SP
3433403;Nova Odessa;SP
3433502;Novo Horizonte;SP
3433601;Nuporanga;SP
3433700;Ocauçu;SP
3433809;Óleo;SP
3433908;Olímpia;SP
3434005;Onda Verde;SP
3434104;Oriente;SP
3434203;Orindiúva;SP
3434302;Orlândia;SP
3434401;Osasco;SP
3434500;Oscar Bressane;SP
3434609;Osvaldo Cruz;SP
3434708;Ourinhos;SP
3434757;Ouroeste;SP
3434807;Ouro Verde;SP
3434906;Pacaembu;SP
3435002;Palestina;SP
3435101;Palmares Paulista;SP
3435200;Palmeira d'Oeste;SP
3435309;Palmital;SP
3435408;Panorama;SP
3435507;Paraguaçu Paulista;SP
3435606;Paraibuna;SP
3435705;Paraíso;SP
3435804;Paranapanema;SP
3435903;Paranapuã;SP
3436000;Parapuã;SP
3436109;Pardinho;SP
3436208;Pariquera-Açu;SP
3436257;Parisi;SP
3436307;Patrocínio Paulista;SP
3436406;Paulicéia;SP
3436505;Paulínia;SP
3436570;Paulistânia;SP
3436604;Paulo de Faria;SP
3436703;Pederneiras;SP
3436802;Pedra Bela;SP
3436901;Pedranópolis;SP
3437008;Pedregulho;SP
3437107;Pedreira;SP
3437156;Pedrinhas Paulista;SP
3437206;Pedro de Toledo;SP
3437305;Penápolis;SP
3408306;Cabrália Paulista;SP
3408405;Cabreúva;SP
3408504;Caçapava;SP
3408603;Cachoeira Paulista;SP
3408702;Caconde;SP
3408801;Cafelândia;SP
3408900;Caiabu;SP
3409007;Caieiras;SP
3409106;Caiuá;SP
3409205;Cajamar;SP
3409254;Cajati;SP
3409304;Cajobi;SP
3409403;Cajuru;SP
3409452;Campina do Monte Alegre;SP
3409502;Campinas;SP
3409601;Campo Limpo Paulista;SP
3409700;Campos do Jordão;SP
3409809;Campos Novos Paulista;SP
3409908;Cananéia;SP
3409957;Canas;SP
3410005;Cândido Mota;SP
3410104;Cândido Rodrigues;SP
3410153;Canitar;SP
3410203;Capão Bonito;SP
3410302;Capela do Alto;SP
3410401;Capivari;SP
3410500;Caraguatatuba;SP
3410609;Carapicuíba;SP
3410708;Cardoso;SP
3410807;Casa Branca;SP
3410906;Cássia dos Coqueiros;SP
3411003;Castilho;SP
3411102;Catanduva;SP
3411201;Catiguá;SP
3411300;Cedral;SP
3411409;Cerqueira César;SP
3411508;Cerquilho;SP
3411607;Cesário Lange;SP
3411706;Charqueada;SP
3411904;Clementina;SP
3412001;Colina;SP
3412100;Colômbia;SP
3412209;Conchal;SP
3412308;Conchas;SP
3412407;Cordeirópolis;SP
3412506;Coroados;SP
3412605;Coronel Macedo;SP
3412704;Corumbataí;SP
3412803;Cosmópolis;SP
3412902;Cosmorama;SP
3413009;Cotia;SP
3413108;Cravinhos;SP
3413207;Cristais Paulista;SP
3413306;Cruzália;SP
3413405;Cruzeiro;SP
3413504;Cubatão;SP
3413603;Cunha;SP
3413702;Descalvado;SP
3413801;Diadema;SP
3413850;Dirce Reis;SP
3413900;Divinolândia;SP
3414007;Dobrada;SP
3414106;Dois Córregos;SP
3414205;Dolcinópolis;SP
3414304;Dourado;SP
3414403;Dracena;SP
3414502;Duartina;SP
3414601;Dumont;SP
3414700;Echaporã;SP
3414809;Eldorado;SP
3414908;Elias Fausto;SP
3414924;Elisiário;SP
3414957;Embaúba;SP
3415004;Embu;SP
3415103;Embu-Guaçu;SP
3415129;Emilianópolis;SP
3415152;Engenheiro Coelho;SP
3415186;Espírito Santo do Pinhal;SP
3415194;Espírito Santo do Turvo;SP
3415202;Estrela d'Oeste;SP
3415301;Estrela do Norte;SP
3415350;Euclides da Cunha Paulista;SP
3415400;Fartura;SP
3415509;Fernandópolis;SP
3415608;Fernando Prestes;SP
3415657;Fernão;SP
3415707;Ferraz de Vasconcelos;SP
3415806;Flora Rica;SP
3415905;Floreal;SP
3416002;Flórida Paulista;SP
3416101;Florínia;SP
3416200;Franca;SP
3416309;Francisco Morato;SP
3416408;Franco da Rocha;SP
3416507;Gabriel Monteiro;SP
3416606;Gália;SP
3416705;Garça;SP
3416804;Gastão Vidigal;SP
3416853;Gavião Peixoto;SP
3416903;General Salgado;SP
3417000;Getulina;SP
3417109;Glicério;SP
3417208;Guaiçara;SP
3417307;Guaimbê;SP
3417406;Guaíra;SP
3417505;Guapiaçu;SP
3417604;Guapiara;SP
3417703;Guará;SP
3417802;Guaraçaí;SP
3417901;Guaraci;SP
3418008;Guarani d'Oeste;SP
3418107;Guarantã;SP
3418206;Guararapes;SP
3418305;Guararema;SP
3418404;Guaratinguetá;SP
3418503;Guareí;SP
3418602;Guariba;SP
3418701;Guarujá;SP
3418800;Guarulhos;SP
3418859;Guatapará;SP
3418909;Guzolândia;SP
3419006;Herculândia;SP
3419055;Holambra;SP
3419071;Hortolândia;SP
3419105;Iacanga;SP
3419204;Iacri;SP
3419253;Iaras;SP
3419303;Ibaté;SP
3419402;Ibirá;SP
3419501;Ibirarema;SP
3419600;Ibitinga;SP
3419709;Ibiúna;SP
3419808;Icém;SP
3419907;Iepê;SP
3420004;Igaraçu do Tietê;SP
