CO_ANO	CO_MES	SH4	CO_PAIS	SG_UF_MUN	CO_MUN	KG_LIQUIDO	VL_FOB	VALOR AGREGADO
2023.0	11.0	8424.0	23.0	SP	3434401.0	1126.0	28721.0	25.507104795737124
2023.0	11.0	7318.0	160.0	SP	3409205.0	838.0	11089.0	13.232696897374701
2023.0	7.0	6101.0	607.0	SP	3450308.0	29.0	7806.0	269.17241379310343
2023.0	6.0	8531.0	386.0	SP	3447304.0	5.0	168.0	33.6
2023.0	1.0	8481.0	399.0	SP	3431803.0	7.0	2373.0	339.0
2023.0	2.0	8481.0	361.0	SP	3454102.0	337.0	9815.0	29.124629080118694
2023.0	1.0	7013.0	160.0	SP	3450308.0	271048.0	449859.0	1.659702340544848
2023.0	3.0	7215.0	670.0	SP	3448005.0	24916.0	64074.0	2.5716005779418847
2023.0	10.0	2827.0	23.0	SP	3413009.0	418.0	17615.0	42.14114832535885
2023.0	1.0	8471.0	249.0	SP	3413009.0	2.0	484.0	242.0
2023.0	10.0	8467.0	161.0	SP	3452403.0	373.0	28427.0	76.21179624664879
2023.0	3.0	8436.0	160.0	SP	3456206.0	84.0	990.0	11.785714285714286
2023.0	3.0	8425.0	160.0	SP	3413009.0	16861.0	28971.0	1.718225490777534
2023.0	11.0	5407.0	190.0	SP	3409502.0	48.0	1595.0	33.229166666666664
2023.0	6.0	9031.0	767.0	SP	3424006.0	26.0	11842.0	455.46153846153845
2023.0	10.0	7419.0	249.0	SP	3416853.0	3.0	2073.0	691.0
2023.0	3.0	8504.0	493.0	SP	3413009.0	714.0	33703.0	47.203081232493
2023.0	6.0	8422.0	455.0	SP	3405708.0	67.0	9914.0	147.97014925373134
2023.0	6.0	7415.0	23.0	SP	3438709.0	256.0	6137.0	23.97265625
2023.0	9.0	7318.0	355.0	SP	3452205.0	3571.0	47995.0	13.440212825539065
2023.0	11.0	6208.0	160.0	SP	3402754.0	472.0	8949.0	18.959745762711865
2023.0	7.0	9032.0	386.0	SP	3452205.0	459.0	51710.0	112.65795206971677
2023.0	1.0	8481.0	383.0	SP	3418305.0	1878.0	115005.0	61.23801916932907
2023.0	11.0	3907.0	160.0	SP	3413009.0	1.0	639.0	639.0
2023.0	9.0	4010.0	160.0	SP	3424402.0	36395.0	139017.0	3.8196730320098915
2023.0	3.0	3926.0	827.0	SP	3456701.0	1.0	229.0	229.0
2023.0	4.0	8544.0	23.0	SP	3405708.0	416.0	37684.0	90.58653846153847
2023.0	3.0	7320.0	386.0	SP	3420509.0	7.0	219.0	31.285714285714285
2023.0	8.0	8479.0	23.0	SP	3409502.0	4143.0	729298.0	176.03137822833696
2023.0	2.0	8482.0	23.0	SP	3448708.0	143056.0	2066651.0	14.446447545017335
2023.0	3.0	8482.0	160.0	SP	3448906.0	3807.0	23162.0	6.084055686892566
2023.0	10.0	8531.0	160.0	SP	3456206.0	5424.0	178180.0	32.850294985250734
2023.0	11.0	7315.0	160.0	SP	3450308.0	30223.0	198258.0	6.5598385335671505
2023.0	4.0	8481.0	767.0	SP	3418404.0	30.0	5770.0	192.33333333333334
2023.0	11.0	3920.0	23.0	SP	3425904.0	19447.0	71488.0	3.676042577261274
2023.0	2.0	3506.0	23.0	SP	3456701.0	136.0	7352.0	54.05882352941177
2023.0	12.0	5808.0	160.0	SP	3450308.0	10259.0	68326.0	6.660103323910713
2023.0	8.0	8536.0	386.0	SP	3452205.0	17226.0	729019.0	42.32085220016255
2023.0	11.0	8483.0	767.0	SP	3418800.0	40.0	17234.0	430.85
2023.0	12.0	4010.0	275.0	SP	3452205.0	172.0	4106.0	23.872093023255815
2023.0	8.0	4819.0	160.0	SP	3424709.0	933.0	20448.0	21.916398713826368
2023.0	7.0	7307.0	249.0	SP	3405708.0	148.0	8967.0	60.58783783783784
2023.0	10.0	8538.0	399.0	SP	3440606.0	9.0	1234.0	137.11111111111111
2023.0	2.0	8708.0	386.0	SP	3452205.0	84459.0	795511.0	9.418901478824045
2023.0	3.0	8409.0	23.0	SP	3430607.0	101111.0	285527.0	2.823896509776384
2023.0	10.0	3917.0	249.0	SP	3407605.0	25.0	3869.0	154.76
2023.0	12.0	4821.0	160.0	SP	3425904.0	8.0	563.0	70.375
2023.0	10.0	8544.0	23.0	SP	3425904.0	7099.0	157470.0	22.18199746443161
2023.0	6.0	2930.0	160.0	SP	3436505.0	50030.0	1282009.0	25.624805116929842
2023.0	7.0	8531.0	249.0	SP	3418800.0	5.0	34421.0	6884.2
2023.0	10.0	8523.0	23.0	SP	3425904.0	1052.0	26442.0	25.134980988593156
2023.0	2.0	8538.0	386.0	SP	3450308.0	74.0	25358.0	342.6756756756757
2023.0	3.0	7607.0	361.0	SP	3450308.0	1200.0	4969.0	4.140833333333333
2023.0	12.0	7318.0	399.0	SP	3423909.0	19019.0	134598.0	7.077028234922972
2023.0	7.0	2920.0	160.0	SP	3448708.0	20000.0	22495.0	1.12475
2023.0	5.0	8203.0	160.0	SP	3426902.0	442.0	803.0	1.8167420814479638
2023.0	6.0	7326.0	361.0	SP	3418800.0	399.0	3837.0	9.61654135338346
2023.0	3.0	8431.0	249.0	SP	3418404.0	410.0	5044.0	12.302439024390244
2023.0	4.0	8479.0	249.0	SP	3409502.0	374.0	306617.0	819.8315508021391
2023.0	8.0	9026.0	249.0	SP	3450308.0	6175.0	1354489.0	219.35044534412955
2023.0	4.0	7307.0	764.0	SP	3405708.0	7.0	282.0	40.285714285714285
2023.0	3.0	4008.0	245.0	SP	3454102.0	650.0	47219.0	72.64461538461538
2023.0	8.0	8544.0	111.0	SP	3431803.0	26.0	303.0	11.653846153846153
2023.0	9.0	8541.0	160.0	SP	3443303.0	5.0	5632.0	1126.4
2023.0	7.0	8409.0	607.0	SP	3450308.0	1121.0	27253.0	24.311329170383587
2023.0	4.0	7318.0	628.0	SP	3452205.0	13728.0	77438.0	5.640879953379954
2023.0	3.0	8807.0	275.0	SP	3407506.0	106.0	167771.0	1582.745283018868
2023.0	3.0	3002.0	232.0	SP	3413009.0	9.0	70.0	7.777777777777778
2023.0	7.0	3808.0	160.0	SP	3405708.0	2765652.0	10600531.0	3.832922941859641
2023.0	7.0	2826.0	275.0	SP	3450308.0	164810.0	56079.0	0.34026454705418363
2023.0	2.0	8537.0	72.0	SP	3409502.0	89.0	38996.0	438.1573033707865
2023.0	1.0	8483.0	386.0	SP	3405708.0	786.0	58849.0	74.87150127226464
2023.0	7.0	8419.0	23.0	SP	3413801.0	325.0	21789.0	67.04307692307692
2023.0	9.0	8536.0	399.0	SP	3454003.0	1152.0	35425.0	30.750868055555557
2023.0	6.0	8481.0	603.0	SP	3405708.0	2442.0	104226.0	42.680589680589684
2023.0	5.0	8536.0	603.0	SP	3452205.0	214.0	19150.0	89.48598130841121
2023.0	4.0	8481.0	87.0	SP	3405708.0	1248.0	121907.0	97.68189102564102
2023.0	12.0	8414.0	160.0	SP	3420509.0	15484.0	416466.0	26.896538362180316
2023.0	6.0	9032.0	160.0	SP	3425904.0	295.0	27643.0	93.70508474576272
2023.0	3.0	9403.0	249.0	SP	3405708.0	1210.0	192159.0	158.8090909090909
2023.0	8.0	8509.0	160.0	SP	3450308.0	85330.0	407025.0	4.770010547287003
2023.0	11.0	7318.0	23.0	SP	3452205.0	29294.0	443134.0	15.12712500853417
2023.0	11.0	8534.0	741.0	SP	3409502.0	9.0	440.0	48.888888888888886
2023.0	4.0	7326.0	351.0	SP	3450308.0	1011.0	1792.0	1.7725024727992087
2023.0	3.0	6204.0	386.0	SP	3413009.0	28.0	29468.0	1052.4285714285713
2023.0	6.0	8421.0	603.0	SP	3405708.0	10.0	741.0	74.1
2023.0	9.0	8542.0	767.0	SP	3450308.0	30.0	67256.0	2241.866666666667
2023.0	11.0	7113.0	275.0	SP	3450308.0	4.0	684280.0	171070.0
2023.0	9.0	7419.0	275.0	SP	3448906.0	1.0	6466.0	6466.0
2023.0	10.0	6104.0	365.0	SP	3415004.0	412.0	10367.0	25.1626213592233
2023.0	12.0	6205.0	386.0	SP	3450308.0	158.0	144982.0	917.6075949367089
2023.0	7.0	7318.0	249.0	SP	3436703.0	228.0	3960.0	17.36842105263158
2023.0	6.0	7007.0	160.0	SP	3405708.0	25874.0	20026.0	0.7739816031537451
2023.0	8.0	8412.0	386.0	SP	3456701.0	95.0	6576.0	69.22105263157894
2023.0	6.0	6903.0	249.0	SP	3443907.0	67.0	13274.0	198.11940298507463
2023.0	8.0	8204.0	628.0	SP	3405708.0	7.0	3750.0	535.7142857142857
2023.0	10.0	8481.0	386.0	SP	3452809.0	660.0	85520.0	129.57575757575756
2023.0	2.0	8541.0	355.0	SP	3425904.0	87.0	17978.0	206.64367816091954
2023.0	2.0	8531.0	149.0	SP	3450308.0	125.0	62390.0	499.12
2023.0	11.0	8543.0	399.0	SP	3452205.0	1062.0	145537.0	137.04048964218455
2023.0	8.0	8481.0	249.0	SP	3425904.0	368.0	139393.0	378.7853260869565
2023.0	4.0	2931.0	249.0	SP	3413009.0	3.0	8971.0	2990.3333333333335
2023.0	12.0	3214.0	249.0	SP	3438006.0	34564.0	655088.0	18.952898970026617
2023.0	7.0	8536.0	493.0	SP	3443402.0	84.0	20408.0	242.95238095238096
2023.0	6.0	2931.0	23.0	SP	3405708.0	25800.0	176367.0	6.835930232558139
2023.0	8.0	8409.0	764.0	SP	3448708.0	216772.0	2569405.0	11.8530299116122
2023.0	4.0	7326.0	361.0	SP	3409502.0	46.0	1758.0	38.21739130434783
2023.0	12.0	9026.0	249.0	SP	3438709.0	1546.0	507429.0	328.22056921086676
2023.0	1.0	7326.0	249.0	SP	3452205.0	11192.0	112215.0	10.026358112937812
2023.0	12.0	9019.0	23.0	SP	3450308.0	23.0	3507.0	152.47826086956522
2023.0	1.0	8203.0	351.0	SP	3450308.0	10288.0	44122.0	4.2886858475894245
2023.0	10.0	8481.0	249.0	SP	3452205.0	8237.0	507914.0	61.6624984824572
2023.0	9.0	6802.0	160.0	SP	3422208.0	24228.0	12698.0	0.5241043420835397
2023.0	1.0	4016.0	160.0	SP	3420509.0	6073.0	112805.0	18.574839453317963
2023.0	7.0	8541.0	161.0	SP	3425904.0	318.0	70898.0	222.9496855345912
2023.0	12.0	8544.0	249.0	SP	3427306.0	34.0	4799.0	141.14705882352942
2023.0	12.0	8517.0	160.0	SP	3409502.0	1690.0	1439460.0	851.7514792899408
2023.0	3.0	3004.0	158.0	SP	3405708.0	2062.0	32814.0	15.913676042677013
2023.0	4.0	8423.0	160.0	SP	3448807.0	739.0	3369.0	4.558863328822733
2023.0	2.0	1905.0	245.0	SP	3450308.0	60978.0	179067.0	2.936583685919512
2023.0	12.0	4009.0	249.0	SP	3448906.0	44.0	153210.0	3482.0454545454545
2023.0	6.0	8543.0	750.0	SP	3447809.0	1.0	415.0	415.0
2023.0	2.0	4016.0	23.0	SP	3409502.0	8246.0	440140.0	53.37618239146253
2023.0	9.0	3919.0	160.0	SP	3450308.0	124881.0	337734.0	2.7044466331948014
2023.0	1.0	8512.0	386.0	SP	3452205.0	2640.0	71175.0	26.960227272727273
2023.0	6.0	8421.0	23.0	SP	3409502.0	4867.0	248245.0	51.00575303061434
2023.0	2.0	8523.0	23.0	SP	3425904.0	1790.0	39400.0	22.011173184357542
2023.0	8.0	8531.0	160.0	SP	3418800.0	120.0	24568.0	204.73333333333332
2023.0	1.0	3901.0	399.0	SP	3422307.0	4925.0	22798.0	4.629035532994924
2023.0	9.0	8431.0	628.0	SP	3436703.0	351.0	28051.0	79.91737891737891
2023.0	8.0	2503.0	53.0	SP	3447304.0	520000.0	100946.0	0.19412692307692309
2023.0	6.0	8466.0	23.0	SP	3418404.0	53.0	30361.0	572.8490566037735
